600117,  西宁特钢,1997/10/15,74121.93,74121.93,ss
600118,  中国卫星,1997/9/8,118248.91,118248.91,ss
600119,  长江投资,1998/1/15,30740,30740,ss
600120,  浙江东方,1997/12/1,50547.35,50547.35,ss
600121,  郑州煤电,1998/1/7,101534.34,101534.34,ss
600122,  宏图高科,1998/4/20,115019.84,114647.34,ss
600123,  兰花科创,1998/12/17,114240,114240,ss
600125,  铁龙物流,1998/5/11,130552.19,130552.19,ss
600126,  杭钢股份,1998/3/11,212908.78,83893.88,ss
600127,  金健米业,1998/5/6,64178.32,54445.96,ss
600128,  弘业股份,1997/9/1,24676.75,24676.75,ss
600129,  太极集团,1997/11/18,42689.4,42689.4,ss
600130,  波导股份,2000/7/6,76800,76800,ss
600131,  岷江水电,1998/4/2,50412.52,39736.69,ss
600132,  重庆啤酒,1997/10/30,48397.12,48397.12,ss
600133,  东湖高新,1998/2/12,63425.78,53794.89,ss
600135,  乐凯胶片,1998/1/22,37299.17,34200,ss
600136,  道博股份,1998/3/3,24359.11,12052.74,ss
600137,  浪莎股份,1998/4/16,9721.76,9721.76,ss
600138,  中青旅,1997/12/3,72384,70271.82,ss
600139,  西部资源,1998/2/25,66189.05,66189.05,ss
600141,  兴发集团,1999/6/16,52998.19,46574.39,ss
600143,  金发科技,2004/6/23,256000,256000,ss
600145,  *ST新亿,1999/9/23,149110.04,149110.04,ss
600146,  商赢环球,1999/7/7,20000,20000,ss
600148,  长春一东,1998/5/20,14151.65,14151.65,ss
600149,  廊坊发展,1999/10/14,38016,38016,ss
600150,  中国船舶,1998/5/20,137811.76,137811.76,ss
600151,  航天机电,1998/6/5,125017.99,125017.99,ss
600152,  维科精华,1998/6/9,29349.42,29349.42,ss
600153,  建发股份,1998/6/16,283520.05,283520.05,ss
600155,  宝硕股份,1998/9/18,47660.26,41250,ss
600156,  华升股份,1998/5/27,40211.07,40211.07,ss
600157,  永泰能源,1998/5/13,1119463.95,459565.48,ss
600158,  中体产业,1998/3/27,84373.54,65749.54,ss
600159,  大龙地产,1998/5/26,83000.32,83000.32,ss
600160,  巨化股份,1998/6/26,181091.6,181091.6,ss
600161,  天坛生物,1998/6/16,51546.69,51546.69,ss
600162,  香江控股,1998/6/9,159645.76,76781.26,ss
600163,  中闽能源,1998/6/2,99946.52,72142,ss
600165,  新日恒力,1998/5/29,68488.38,48488.38,ss
600166,  福田汽车,1998/6/2,333506.56,333506.56,ss
600167,  联美控股,1999/1/28,21100,21100,ss
600168,  武汉控股,1998/4/27,70956.97,56888.11,ss
600169,  太原重工,1998/9/4,242395.5,242395.5,ss
600170,  上海建工,1998/6/23,594321.42,575526.24,ss
600171,  上海贝岭,1998/9/24,67380.78,67380.78,ss
600172,  黄河旋风,1998/11/26,79239.89,63409.77,ss
600173,  卧龙地产,1999/4/15,72514.75,72505.75,ss
600175,  美都能源,1999/4/8,245103.75,144803.32,ss
600176,  中国巨石,1999/4/22,110552.62,87262.95,ss
600177,  雅戈尔,1998/11/19,255817.67,222661.17,ss
600178,  东安动力,1998/10/14,46208,46208,ss
600179,  ST黑化,1998/11/4,39000,39000,ss
600180,  瑞茂通,1998/7/3,101647.75,88254.89,ss
600182,  S佳通,1999/5/7,34000,17000,ss
600183,  生益科技,1998/10/28,143755.39,143755.39,ss
600184,  光电股份,2003/11/6,50876.08,41876.08,ss
600185,  格力地产,1999/6/11,57768.1,57768.1,ss
600186,  莲花健康,1998/8/25,106202.43,106202.43,ss
600187,  国中水务,1998/11/11,145562.42,145562.42,ss
600188,  兖州煤业,1998/7/1,491840,491840,ss
600189,  吉林森工,1998/10/7,31050,31050,ss
600190,  锦州港,1999/6/9,200229.15,156178.74,ss
600191,  华资实业,1998/12/10,48493.2,48493.2,ss
600192,  长城电工,1998/12/24,44174.8,44174.8,ss
600193,  创兴资源,1999/5/27,42537.3,42537.3,ss
600195,  中牧股份,1999/1/7,42980,42980,ss
600196,  复星医药,1998/8/7,231407.54,231012.1,ss
600197,  伊力特,1999/9/16,44100,44100,ss
600198,  大唐电信,1998/10/21,88210.85,80864.83,ss
600199,  金种子酒,1998/8/12,55577.5,55577.5,ss
600200,  江苏吴中,1999/4/1,66944.61,52396.92,ss
600201,  生物股份,1999/1/15,57282.99,56505.71,ss
600202,  哈空调,1999/6/3,38334.07,38334.07,ss
600203,  福日电子,1999/5/14,38028.07,30317.08,ss
600206,  有研新材,1999/3/19,83877.83,58713.42,ss
600207,  安彩高科,1999/7/14,69000,44000,ss
600208,  新湖中宝,1999/6/23,909967.04,813696.04,ss
600209,  罗顿发展,1999/3/25,43901.12,42204,ss
600210,  紫江企业,1999/8/24,151673.62,143673.62,ss
600211,  西藏药业,1999/7/21,14558.9,11410.9,ss
600212,  *ST江泉,1999/8/17,51169.72,51169.72,ss
600213,  亚星客车,1999/8/31,22000,22000,ss
600215,  长春经开,1999/9/9,46503.29,46503.29,ss
600216,  浙江医药,1999/10/21,93610.8,93610.37,ss
600217,  秦岭水泥,1999/12/16,134158.75,66080,ss
600218,  全柴动力,1998/12/3,36875.5,36875.5,ss
600219,  南山铝业,1999/12/23,283518.44,283518.44,ss
600220,  江苏阳光,1999/9/27,178334.03,178334.03,ss
600221,  海南航空,1999/11/25,1218218.18,1218151.06,ss
600222,  太龙药业,1999/11/5,57388.63,49660.89,ss
600223,  鲁商置业,2000/1/13,100096.8,100096.8,ss
600225,  天津松江,2000/1/27,93549.26,84982.56,ss
600226,  升华拜克,1999/11/16,109498.3,109498.3,ss
600227,  赤天化,2000/2/21,95039.25,95039.25,ss
600228,  昌九生化,1999/1/19,24132,24132,ss
600229,  城市传媒,2000/3/9,70209.6,39578.62,ss
600230,  *ST沧大,2000/4/6,29418.82,29418.82,ss
600231,  凌钢股份,2000/5/11,125958.31,80400.22,ss
600232,  金鹰股份,2000/6/2,36471.85,36471.85,ss
600233,  大杨创世,2000/6/8,16500,16500,ss
600234,  山水文化,2000/6/15,20244.59,20244.59,ss
600235,  民丰特纸,2000/6/15,35130,35130,ss
600236,  桂冠电力,2000/3/23,606336.75,112852.68,ss
600237,  铜峰电子,2000/6/9,56436.96,56436.96,ss
600238,  海南椰岛,2000/1/20,44820,44500.16,ss
600239,  云南城投,1999/12/2,107045.79,107045.79,ss
600240,  华业资本,2000/6/28,142425.36,142425.36,ss
600241,  时代万恒,2000/11/28,22619.21,18020,ss
600242,  中昌海运,2000/12/7,27333.54,26730.28,ss
600243,  青海华鼎,2000/11/20,43885,23685,ss
600246,  万通地产,2000/9/22,121680,121680,ss
600247,  *ST成城,2000/11/23,33644.16,33644.16,ss
600248,  延长化建,2000/6/22,47368.92,46738.92,ss
600249,  两面针,2004/1/30,55000,45000,ss
600250,  南纺股份,2001/3/6,25869.25,25869.25,ss
600251,  冠农股份,2003/6/9,78484.2,78484.2,ss
600252,  中恒集团,2000/11/30,347510.71,343009.66,ss
600255,  鑫科材料,2000/11/22,176959.36,156375,ss
600256,  广汇能源,2000/5/26,522142.47,522142.47,ss
600257,  大湖股份,2000/6/12,42705,42705,ss
600258,  首旅酒店,2000/6/1,23140,23140,ss
600259,  广晟有色,2000/5/25,26212.26,25830.59,ss
600260,  凯乐科技,2000/7/6,66674.76,52764,ss
600261,  阳光照明,2000/7/20,145210.29,145210.29,ss
600262,  北方股份,2000/6/30,17000,17000,ss
600265,  ST景谷,2000/8/25,12980,12980,ss
600266,  北京城建,1999/2/3,156704,151704,ss
600267,  海正药业,2000/7/25,96553.18,96553.18,ss
600268,  国电南自,1999/11/18,63524.64,63524.64,ss
600269,  赣粤高速,2000/5/18,233540.7,233540.7,ss
600270,  外运发展,2000/12/28,90548.17,90548.17,ss
600271,  航天信息,2003/7/11,92340.08,92340.08,ss
600272,  开开实业,1997/1/8,24300,24000,ss
600273,  嘉化能源,2003/6/27,130628.53,57999.84,ss
600275,  武昌鱼,2000/8/10,50883.72,50883.72,ss
600276,  恒瑞医药,2000/10/18,195646.91,194966.94,ss
600277,  亿利洁能,2000/7/25,208958.95,208958.95,ss
600278,  东方创业,2000/7/12,52224.17,52224.17,ss
600279,  重庆港九,2000/7/31,46197.24,46197.24,ss
600280,  中央商场,2000/9/26,114833.49,114833.49,ss
600281,  太化股份,2000/11/9,51440.2,51440.2,ss
600282,  南钢股份,2000/9/19,396207.25,387575.25,ss
600283,  钱江水利,2000/10/18,35299.58,33591.61,ss
600284,  浦东建设,2004/3/16,69304,69304,ss
600285,  羚锐制药,2000/10/18,53548.19,52946.76,ss
600287,  江苏舜天,2000/9/1,43679.61,43679.61,ss
600288,  大恒科技,2000/11/29,43680,43680,ss
600289,  亿阳信通,2000/7/20,56592.27,56592.27,ss
600290,  华仪电气,2000/11/6,75990.35,52688.37,ss
600291,  西水股份,2000/7/31,109306.44,38400,ss
600292,  中电远达,2000/11/1,78081.69,78081.69,ss
600293,  三峡新材,2000/9/19,34450.26,34450.26,ss
600295,  鄂尔多斯,1995/10/20,103200,103200,ss
600297,  广汇汽车,2000/11/16,550040.07,52500,ss
600298,  安琪酵母,2000/8/18,32963.24,32428.77,ss
600299,  安迪苏,2000/4/20,268190.13,52270.76,ss
600300,  维维股份,2000/6/30,167200,167200,ss
600301,  *ST南化,2000/7/12,23514.81,23514.81,ss
600302,  标准股份,2000/12/13,34600.98,34600.98,ss
600303,  曙光股份,2000/12/26,62032.43,57450.6,ss
600305,  恒顺醋业,2001/2/6,30136.9,30136.9,ss
600306,  商业城,2000/12/26,17813.89,17740.57,ss
600307,  酒钢宏兴,2000/12/20,626335.74,626335.74,ss
600308,  华泰股份,2000/9/28,116756.14,116756.14,ss
600309,  万华化学,2000/1/5,216233.47,216233.47,ss
600310,  桂东电力,2001/2/28,82777.5,82777.5,ss
600311,  荣华实业,2001/6/26,66560,66560,ss
600312,  平高电气,2001/2/21,113748.56,81896.62,ss
600313,  农发种业,2001/1/19,43287.95,36728.72,ss
600315,  上海家化,2001/3/15,67403.21,67107.3,ss
600316,  洪都航空,2000/12/15,71711.45,71711.45,ss
600317,  营口港,2002/1/31,647298.3,647298.3,ss
600318,  新力金融,2000/12/8,24200,24200,ss
600319,  *ST亚星,2001/3/26,31559.4,31559.4,ss
600320,  振华重工,2000/12/21,439029.46,439029.46,ss
600321,  国栋建设,2001/5/24,151055,118088,ss
600322,  天房发展,2001/9/10,110570,110570,ss
600323,  瀚蓝环境,2000/12/25,76626.4,62871,ss
600325,  华发股份,2004/2/25,116904.56,81704.56,ss
600326,  西藏天路,2001/1/16,66568.04,54720,ss
600327,  大东方,2002/6/25,52171.18,52171.18,ss
600328,  兰太实业,2000/12/22,43803.11,35911.8,ss
600329,  中新药业,2001/6/6,76887.31,73620.37,ss
600330,  天通股份,2001/1/18,83047.14,75997.14,ss
600331,  宏达股份,2001/12/20,203200,103200,ss
600332,  白云山,2001/2/6,129107.93,125623.96,ss
600333,  长春燃气,2000/12/11,52961.98,52961.98,ss
600335,  国机汽车,2001/3/5,62714.57,57475.99,ss
600336,  澳柯玛,2000/12/29,68207.2,68007.2,ss
600337,  美克家居,2000/11/27,64633.64,64239.74,ss
600338,  西藏珠峰,2000/12/27,65300.73,15833.33,ss
600339,  *ST天利,2000/12/25,57815.47,57815.47,ss
600340,  华夏幸福,2003/12/30,295494.67,264575.94,ss
600343,  航天动力,2003/4/8,63820.63,63820.63,ss
600345,  长江通信,2000/12/22,19800,19800,ss
600346,  大橡塑,2001/8/20,257411.46,66778.68,ss
600348,  阳泉煤业,2003/8/21,240500,240500,ss
600350,  山东高速,2002/3/18,481116.59,481116.59,ss
600351,  亚宝药业,2002/9/26,78704.15,69200,ss
600352,  浙江龙盛,2003/8/1,325333.19,305993.19,ss
600353,  旭光股份,2002/11/20,54372,54372,ss
600354,  敦煌种业,2004/1/15,52780.21,44780.21,ss
600355,  精伦电子,2002/6/13,49208.92,49208.92,ss
600356,  恒丰纸业,2001/4/19,29873.14,29873.14,ss
600358,  国旅联合,2000/9/22,50493.67,43200,ss
600359,  新农开发,1999/4/29,38151.28,38151.28,ss
600360,  华微电子,2001/3/16,73808,73808,ss
